customer_id,segment,plan_tier,monthly_spend,tenure_months,support_tickets,churned
CUST-1000,Mid-Market,Pro,44.57,2,1,0
CUST-1001,Startup,Pro,113.68,6,3,0
CUST-1002,SMB,Basic,267.58,28,0,0
CUST-1003,SMB,Pro,178.11,29,1,0
CUST-1004,Enterprise,Pro,217.14,26,1,0
CUST-1005,Enterprise,Basic,149.03,25,2,0
CUST-1006,Enterprise,Enterprise,161.43,12,4,0
CUST-1007,Startup,Pro,247.01,5,4,1
CUST-1008,SMB,Enterprise,54.47,34,2,0
CUST-1009,SMB,Pro,100.67,37,3,0
CUST-1010,Enterprise,Pro,50.0,15,0,0
CUST-1011,Startup,Basic,547.47,44,2,0
CUST-1012,SMB,Enterprise,366.02,36,2,1
CUST-1013,Mid-Market,Enterprise,24.83,15,1,1
CUST-1014,Enterprise,Basic,166.73,43,2,1
CUST-1015,Enterprise,Basic,331.23,23,3,0
CUST-1016,Mid-Market,Basic,43.9,6,1,0
CUST-1017,SMB,Pro,120.7,46,1,0
CUST-1018,Mid-Market,Enterprise,316.5,44,3,1
CUST-1019,Mid-Market,Basic,24.14,43,5,0
CUST-1020,SMB,Pro,163.45,45,5,1
CUST-1021,Enterprise,Basic,62.35,21,3,1
CUST-1022,Mid-Market,Enterprise,329.87,23,3,0
CUST-1023,Mid-Market,Pro,445.1,43,6,0
CUST-1024,Mid-Market,Pro,366.46,16,1,0
CUST-1025,SMB,Basic,97.14,47,3,1
CUST-1026,Enterprise,Basic,257.7,15,1,0
CUST-1027,SMB,Basic,243.37,25,1,1
CUST-1028,SMB,Basic,66.12,36,1,0
CUST-1029,Enterprise,Enterprise,231.87,11,3,0
CUST-1030,SMB,Pro,24.53,15,1,1
CUST-1031,Enterprise,Enterprise,128.84,4,2,0
CUST-1032,Enterprise,Enterprise,51.37,21,3,0
CUST-1033,Startup,Pro,35.42,13,2,0
CUST-1034,Startup,Pro,29.61,22,5,0
CUST-1035,SMB,Enterprise,163.0,19,1,1
CUST-1036,Mid-Market,Pro,69.84,34,2,0
CUST-1037,Enterprise,Basic,174.82,14,0,1
CUST-1038,SMB,Basic,28.11,4,4,1
CUST-1039,Mid-Market,Basic,65.45,46,2,0
CUST-1040,Enterprise,Enterprise,113.05,27,5,0
CUST-1041,Mid-Market,Pro,207.69,29,3,0
CUST-1042,Enterprise,Basic,66.06,47,5,0
CUST-1043,Startup,Pro,137.99,28,2,1
CUST-1044,Mid-Market,Pro,280.56,35,4,0
CUST-1045,SMB,Basic,134.81,8,1,0
CUST-1046,Mid-Market,Basic,51.83,16,3,0
CUST-1047,SMB,Pro,22.96,42,0,0
CUST-1048,SMB,Pro,264.92,36,1,0
CUST-1049,Enterprise,Pro,22.58,30,3,0
CUST-1050,Startup,Pro,269.25,18,1,0
CUST-1051,SMB,Enterprise,110.33,2,0,0
CUST-1052,Startup,Pro,355.76,13,1,0
CUST-1053,Startup,Pro,212.4,4,5,0
CUST-1054,SMB,Enterprise,761.86,26,2,0
CUST-1055,Startup,Basic,71.83,25,3,0
CUST-1056,Enterprise,Basic,194.9,30,1,0
CUST-1057,Enterprise,Basic,81.69,11,3,0
CUST-1058,Enterprise,Pro,98.44,7,5,0
CUST-1059,Mid-Market,Pro,138.5,31,3,0
CUST-1060,Mid-Market,Pro,268.27,44,4,1
CUST-1061,Mid-Market,Basic,516.85,10,0,1
CUST-1062,SMB,Basic,195.46,39,2,0
CUST-1063,Mid-Market,Basic,84.91,13,4,1
CUST-1064,Mid-Market,Basic,85.65,31,4,1
CUST-1065,SMB,Pro,180.54,7,2,0
CUST-1066,Enterprise,Basic,52.74,42,2,0
CUST-1067,SMB,Basic,34.05,42,4,0
CUST-1068,Enterprise,Enterprise,72.55,36,1,0
CUST-1069,Startup,Basic,60.63,20,5,0
CUST-1070,SMB,Pro,62.17,4,2,0
CUST-1071,Enterprise,Pro,51.93,7,2,0
CUST-1072,Enterprise,Basic,25.16,1,4,0
CUST-1073,SMB,Pro,22.16,44,1,1
CUST-1074,SMB,Enterprise,548.0,45,2,0
CUST-1075,SMB,Enterprise,86.99,42,3,0
CUST-1076,SMB,Basic,78.2,47,1,0
CUST-1077,Enterprise,Enterprise,156.6,13,1,0
CUST-1078,Mid-Market,Basic,49.55,22,1,0
CUST-1079,Enterprise,Basic,379.39,21,2,0
CUST-1080,Startup,Basic,205.21,22,3,0
CUST-1081,SMB,Enterprise,31.24,28,2,0
CUST-1082,Mid-Market,Basic,84.87,9,3,0
CUST-1083,Enterprise,Basic,273.55,26,2,0
CUST-1084,Mid-Market,Pro,367.47,9,3,0
CUST-1085,Mid-Market,Basic,95.6,15,3,0
CUST-1086,SMB,Basic,134.05,10,4,0
CUST-1087,SMB,Basic,41.93,24,5,0
CUST-1088,Startup,Basic,587.53,42,1,1
CUST-1089,Mid-Market,Basic,51.62,8,0,1
CUST-1090,Enterprise,Basic,363.2,24,2,1
CUST-1091,SMB,Pro,145.86,16,4,1
CUST-1092,SMB,Basic,132.3,26,5,0
CUST-1093,SMB,Basic,106.26,27,4,0
CUST-1094,SMB,Enterprise,51.47,37,1,0
CUST-1095,Mid-Market,Basic,43.31,4,3,0
CUST-1096,SMB,Pro,49.89,24,5,0
CUST-1097,Mid-Market,Basic,44.76,19,1,1
CUST-1098,Enterprise,Basic,201.47,36,1,0
CUST-1099,Enterprise,Basic,71.72,39,1,1
CUST-1100,Enterprise,Basic,27.15,10,2,0
CUST-1101,SMB,Basic,437.25,25,1,0
CUST-1102,Mid-Market,Basic,278.28,18,0,0
CUST-1103,SMB,Basic,335.32,19,2,0
CUST-1104,Startup,Basic,653.61,36,1,0
CUST-1105,Mid-Market,Basic,42.92,10,4,0
CUST-1106,Mid-Market,Basic,80.55,33,1,0
CUST-1107,SMB,Basic,190.38,5,3,0
CUST-1108,Mid-Market,Pro,162.9,47,1,1
CUST-1109,Enterprise,Pro,40.05,35,2,1
CUST-1110,Mid-Market,Basic,223.03,44,1,1
CUST-1111,Enterprise,Pro,50.5,34,2,0
