order_id,region,customer_type,product_category,quantity_sold,unit_price,discount_pct,customer_rating,returned,gross_sales,net_sales,profit
ORD-1000,South,Direct Farmer,Office Tech,5,460.68,0.2,5,0,2303.4,1842.72,175.06
ORD-1001,West,Direct Farmer,Hardware,20,154.42,0.1,5,0,3088.4,2779.56,623.86
ORD-1002,East,Direct Farmer,Hardware,21,432.0,0.0,5,0,9072.0,9072.0,2540.16
ORD-1003,East,Direct Farmer,Machinery,8,160.26,0.05,3,0,1282.08,1217.98,455.14
ORD-1004,North,Direct Farmer,Machinery,14,457.17,0.1,1,0,6400.38,5760.34,1984.12
ORD-1005,North,Retail Co-op,Office Tech,4,381.9,0.0,4,0,1527.6,1527.6,336.07
ORD-1006,North,Direct Farmer,Office Tech,11,406.36,0.05,2,0,4469.96,4246.46,822.47
ORD-1007,West,Retail Co-op,Machinery,20,28.64,0.1,1,0,572.8,515.52,177.57
ORD-1008,East,Retail Co-op,Hardware,15,482.15,0.0,4,0,7232.25,7232.25,2025.03
ORD-1009,East,Commercial Enterprise,Logistics Supplies,19,368.8,0.05,5,0,7007.2,6656.84,1023.05
ORD-1010,North,Direct Farmer,Machinery,7,166.28,0.1,4,0,1163.96,1047.56,360.83
ORD-1011,West,Commercial Enterprise,Machinery,19,418.11,0.05,3,1,7944.09,7546.89,2820.15
ORD-1012,West,Commercial Enterprise,Hardware,19,155.13,0.0,4,1,2947.47,2947.47,825.29
ORD-1013,North,Direct Farmer,Office Tech,11,438.92,0.0,3,0,4828.12,4828.12,1062.19
ORD-1014,North,Distributor,Office Tech,5,74.04,0.0,1,0,370.2,370.2,81.44
ORD-1015,North,Distributor,Hardware,5,357.77,0.2,5,0,1788.85,1431.08,221.82
ORD-1016,South,Direct Farmer,Hardware,22,279.54,0.0,4,0,6149.88,6149.88,1721.97
ORD-1017,South,Direct Farmer,Office Tech,8,66.34,0.05,5,0,530.72,504.18,97.65
ORD-1018,South,Commercial Enterprise,Office Tech,10,136.11,0.0,1,0,1361.1,1361.1,299.44
ORD-1019,North,Commercial Enterprise,Hardware,6,25.95,0.0,5,0,155.7,155.7,43.6
ORD-1020,East,Direct Farmer,Logistics Supplies,15,245.01,0.15,4,0,3675.15,3123.88,286.66
ORD-1021,North,Direct Farmer,Hardware,16,164.61,0.1,4,0,2633.76,2370.38,532.02
ORD-1022,North,Retail Co-op,Machinery,17,307.21,0.0,4,0,5222.57,5222.57,2089.03
ORD-1023,South,Retail Co-op,Logistics Supplies,8,162.67,0.05,5,0,1301.36,1236.29,190.0
ORD-1024,South,Commercial Enterprise,Machinery,8,163.96,0.0,4,0,1311.68,1311.68,524.67
ORD-1025,West,Retail Co-op,Office Tech,9,376.73,0.05,4,0,3390.57,3221.04,623.86
ORD-1026,North,Retail Co-op,Machinery,2,43.11,0.1,5,0,86.22,77.6,26.73
ORD-1027,South,Commercial Enterprise,Hardware,15,453.39,0.0,5,0,6800.85,6800.85,1904.24
ORD-1028,East,Direct Farmer,Logistics Supplies,18,429.09,0.0,4,1,7723.62,7723.62,1390.25
ORD-1029,North,Direct Farmer,Machinery,3,340.55,0.0,4,0,1021.65,1021.65,408.66
ORD-1030,East,Commercial Enterprise,Logistics Supplies,17,304.75,0.2,4,1,5180.75,4144.6,227.95
ORD-1031,North,Distributor,Hardware,4,448.31,0.2,3,1,1793.24,1434.59,222.36
ORD-1032,North,Retail Co-op,Hardware,4,108.96,0.0,4,0,435.84,435.84,122.04
ORD-1033,West,Retail Co-op,Hardware,14,57.91,0.1,5,0,810.74,729.67,163.77
ORD-1034,West,Direct Farmer,Office Tech,9,134.96,0.0,5,0,1214.64,1214.64,267.22
ORD-1035,West,Retail Co-op,Machinery,9,401.4,0.0,3,0,3612.6,3612.6,1445.04
ORD-1036,South,Retail Co-op,Logistics Supplies,23,36.64,0.1,4,0,842.72,758.45,94.39
ORD-1037,North,Direct Farmer,Machinery,18,299.75,0.2,3,0,5395.5,4316.4,1187.01
ORD-1038,East,Direct Farmer,Logistics Supplies,10,497.81,0.2,5,0,4978.1,3982.48,219.04
ORD-1039,South,Retail Co-op,Hardware,21,430.73,0.05,5,0,9045.33,8593.06,2179.92
ORD-1040,North,Direct Farmer,Logistics Supplies,4,270.29,0.0,4,0,1081.16,1081.16,194.61
ORD-1041,South,Direct Farmer,Office Tech,12,50.55,0.1,5,0,606.6,545.94,89.78
ORD-1042,North,Direct Farmer,Office Tech,8,419.06,0.0,4,0,3352.48,3352.48,737.55
ORD-1043,West,Direct Farmer,Office Tech,2,307.51,0.05,4,0,615.02,584.27,113.16
ORD-1044,North,Direct Farmer,Office Tech,22,75.17,0.0,2,0,1653.74,1653.74,363.82
ORD-1045,East,Distributor,Office Tech,13,65.05,0.1,4,1,845.65,761.08,125.16
ORD-1046,South,Retail Co-op,Hardware,21,456.62,0.0,4,0,9589.02,9589.02,2684.93
ORD-1047,South,Commercial Enterprise,Hardware,16,341.22,0.0,4,0,5459.52,5459.52,1528.67
ORD-1048,South,Commercial Enterprise,Logistics Supplies,2,418.06,0.2,4,0,836.12,668.9,36.79
ORD-1049,North,Retail Co-op,Office Tech,11,441.91,0.0,5,0,4861.01,4861.01,1069.42
ORD-1050,West,Direct Farmer,Office Tech,10,294.45,0.05,3,0,2944.5,2797.28,541.79
ORD-1051,West,Retail Co-op,Machinery,15,268.37,0.0,4,0,4025.55,4025.55,1610.22
ORD-1052,West,Retail Co-op,Hardware,17,226.61,0.0,4,0,3852.37,3852.37,1078.66
ORD-1053,West,Commercial Enterprise,Hardware,8,172.13,0.0,4,1,1377.04,1377.04,385.57
ORD-1054,East,Retail Co-op,Office Tech,18,228.61,0.0,4,1,4114.98,4114.98,905.3
ORD-1055,West,Direct Farmer,Machinery,23,391.46,0.15,3,0,9003.58,7653.04,2385.95
ORD-1056,North,Direct Farmer,Hardware,9,308.92,0.0,3,0,2780.28,2780.28,778.48
ORD-1057,North,Retail Co-op,Machinery,8,448.41,0.2,4,0,3587.28,2869.82,789.2
ORD-1058,North,Commercial Enterprise,Hardware,14,232.82,0.05,4,0,3259.48,3096.51,785.54
ORD-1059,South,Retail Co-op,Office Tech,18,311.4,0.05,3,0,5605.2,5324.94,1031.36
ORD-1060,South,Retail Co-op,Hardware,22,323.03,0.05,4,0,7106.66,6751.33,1712.71
ORD-1061,North,Distributor,Office Tech,20,304.01,0.05,4,0,6080.2,5776.19,1118.76
ORD-1062,West,Commercial Enterprise,Machinery,20,357.26,0.1,4,1,7145.2,6430.68,2215.01
ORD-1063,South,Direct Farmer,Machinery,21,133.97,0.0,5,0,2813.37,2813.37,1125.35
ORD-1064,North,Direct Farmer,Hardware,12,265.93,0.0,3,0,3191.16,3191.16,893.52
ORD-1065,South,Direct Farmer,Hardware,19,70.03,0.15,1,0,1330.57,1130.98,216.88
ORD-1066,North,Direct Farmer,Machinery,14,204.57,0.2,5,0,2863.98,2291.18,630.07
ORD-1067,West,Direct Farmer,Machinery,17,254.08,0.15,4,0,4319.36,3671.46,1144.63
ORD-1068,North,Direct Farmer,Office Tech,24,333.07,0.05,4,0,7993.68,7594.0,1470.84
ORD-1069,West,Direct Farmer,Hardware,21,476.25,0.1,5,0,10001.25,9001.12,2020.25
ORD-1070,West,Direct Farmer,Office Tech,3,308.31,0.05,5,0,924.93,878.68,170.19
ORD-1071,North,Distributor,Logistics Supplies,23,376.93,0.05,5,0,8669.39,8235.92,1265.73
ORD-1072,North,Direct Farmer,Office Tech,7,263.01,0.0,4,0,1841.07,1841.07,405.04
ORD-1073,West,Retail Co-op,Hardware,17,324.37,0.05,4,0,5514.29,5238.58,1328.95
ORD-1074,East,Retail Co-op,Machinery,12,54.05,0.0,4,0,648.6,648.6,259.44
ORD-1075,East,Distributor,Hardware,9,142.11,0.0,3,0,1278.99,1278.99,358.12
ORD-1076,West,Direct Farmer,Hardware,15,193.69,0.15,4,0,2905.35,2469.55,473.57
ORD-1077,North,Retail Co-op,Logistics Supplies,18,246.8,0.0,3,0,4442.4,4442.4,799.63
ORD-1078,South,Distributor,Hardware,21,41.91,0.0,5,0,880.11,880.11,246.43
ORD-1079,North,Distributor,Machinery,13,87.21,0.0,4,0,1133.73,1133.73,453.49
ORD-1080,West,Commercial Enterprise,Office Tech,21,152.87,0.2,4,0,3210.27,2568.22,243.98
ORD-1081,East,Direct Farmer,Office Tech,8,486.34,0.05,4,0,3890.72,3696.18,715.89
ORD-1082,South,Direct Farmer,Office Tech,14,179.05,0.05,2,0,2506.7,2381.36,461.23
ORD-1083,North,Commercial Enterprise,Hardware,8,251.38,0.15,1,0,2011.04,1709.38,327.8
ORD-1084,South,Distributor,Machinery,14,114.13,0.15,4,0,1597.82,1358.15,423.42
ORD-1085,South,Retail Co-op,Office Tech,7,313.17,0.0,2,0,2192.19,2192.19,482.28
ORD-1086,East,Retail Co-op,Hardware,23,154.73,0.1,4,0,3558.79,3202.91,718.88
ORD-1087,East,Direct Farmer,Machinery,12,119.36,0.1,5,0,1432.32,1289.09,444.02
ORD-1088,West,Commercial Enterprise,Hardware,11,267.95,0.1,5,1,2947.45,2652.7,595.38
ORD-1089,South,Direct Farmer,Hardware,22,22.64,0.0,4,0,498.08,498.08,139.46
ORD-1090,North,Direct Farmer,Machinery,22,23.68,0.15,3,0,520.96,442.82,138.06
ORD-1091,East,Retail Co-op,Hardware,11,125.15,0.05,5,0,1376.65,1307.82,331.77
ORD-1092,West,Retail Co-op,Office Tech,22,37.63,0.0,5,0,827.86,827.86,182.13
ORD-1093,East,Direct Farmer,Office Tech,13,71.85,0.05,3,0,934.05,887.35,171.87
ORD-1094,West,Direct Farmer,Office Tech,18,182.65,0.0,4,0,3287.7,3287.7,723.29
ORD-1095,South,Commercial Enterprise,Hardware,2,405.24,0.0,3,0,810.48,810.48,226.93
ORD-1096,South,Direct Farmer,Hardware,21,294.58,0.1,5,0,6186.18,5567.56,1249.61
ORD-1097,South,Retail Co-op,Hardware,15,266.08,0.0,5,0,3991.2,3991.2,1117.54
ORD-1098,North,Direct Farmer,Office Tech,20,160.87,0.05,1,0,3217.4,3056.53,592.0
ORD-1099,North,Retail Co-op,Office Tech,18,467.24,0.05,5,0,8410.32,7989.8,1547.5
ORD-1100,North,Retail Co-op,Hardware,15,210.57,0.0,4,0,3158.55,3158.55,884.39
ORD-1101,East,Direct Farmer,Logistics Supplies,19,61.8,0.2,5,1,1174.2,939.36,51.66
ORD-1102,South,Direct Farmer,Hardware,23,316.19,0.0,4,0,7272.37,7272.37,2036.26
ORD-1103,South,Direct Farmer,Office Tech,24,74.64,0.0,5,1,1791.36,1791.36,394.1
ORD-1104,West,Direct Farmer,Office Tech,12,185.71,0.0,2,0,2228.52,2228.52,490.27
ORD-1105,North,Distributor,Logistics Supplies,13,263.56,0.0,3,0,3426.28,3426.28,616.73
ORD-1106,South,Direct Farmer,Office Tech,22,439.63,0.0,2,0,9671.86,9671.86,2127.81
ORD-1107,West,Commercial Enterprise,Office Tech,11,256.9,0.1,5,0,2825.9,2543.31,418.23
ORD-1108,North,Direct Farmer,Machinery,5,357.08,0.2,5,0,1785.4,1428.32,392.79
ORD-1109,North,Commercial Enterprise,Office Tech,1,496.55,0.0,5,0,496.55,496.55,109.24
ORD-1110,North,Commercial Enterprise,Hardware,24,83.11,0.1,5,0,1994.64,1795.18,402.92
ORD-1111,North,Retail Co-op,Logistics Supplies,3,151.87,0.1,2,1,455.61,410.05,51.03
ORD-1112,West,Retail Co-op,Office Tech,22,209.4,0.15,4,0,4606.8,3915.78,515.96
ORD-1113,West,Retail Co-op,Office Tech,19,222.48,0.05,2,0,4227.12,4015.76,777.79
ORD-1114,East,Direct Farmer,Machinery,23,217.29,0.0,3,0,4997.67,4997.67,1999.07
ORD-1115,West,Distributor,Office Tech,7,455.65,0.0,3,0,3189.55,3189.55,701.7
ORD-1116,West,Commercial Enterprise,Office Tech,12,362.74,0.1,4,0,4352.88,3917.59,644.23
ORD-1117,North,Distributor,Office Tech,15,311.79,0.15,3,0,4676.85,3975.32,523.81
ORD-1118,West,Direct Farmer,Hardware,5,168.5,0.0,2,1,842.5,842.5,235.9
ORD-1119,South,Commercial Enterprise,Hardware,15,415.42,0.0,3,0,6231.3,6231.3,1744.76
ORD-1120,West,Distributor,Hardware,8,478.43,0.2,2,0,3827.44,3061.95,474.6
ORD-1121,West,Direct Farmer,Hardware,10,414.18,0.15,5,0,4141.8,3520.53,675.11
ORD-1122,South,Direct Farmer,Logistics Supplies,16,20.75,0.2,5,1,332.0,265.6,14.61
ORD-1123,North,Commercial Enterprise,Hardware,8,325.47,0.1,5,0,2603.76,2343.38,525.96
ORD-1124,North,Retail Co-op,Logistics Supplies,1,44.54,0.0,4,0,44.54,44.54,8.02
ORD-1125,South,Commercial Enterprise,Machinery,12,143.65,0.05,3,0,1723.8,1637.61,611.95
ORD-1126,West,Direct Farmer,Hardware,5,48.57,0.1,5,0,242.85,218.56,49.05
ORD-1127,West,Commercial Enterprise,Office Tech,3,309.82,0.0,3,0,929.46,929.46,204.48
ORD-1128,North,Direct Farmer,Office Tech,1,349.56,0.05,3,0,349.56,332.08,64.32
ORD-1129,South,Direct Farmer,Machinery,4,74.95,0.1,3,0,299.8,269.82,92.94
ORD-1130,South,Direct Farmer,Office Tech,8,204.24,0.0,2,0,1633.92,1633.92,359.46
ORD-1131,North,Commercial Enterprise,Office Tech,3,238.99,0.1,3,0,716.97,645.27,106.11
ORD-1132,North,Commercial Enterprise,Hardware,10,197.15,0.05,4,0,1971.5,1872.92,475.13
ORD-1133,South,Retail Co-op,Logistics Supplies,2,78.09,0.2,4,0,156.18,124.94,6.87
ORD-1134,West,Retail Co-op,Logistics Supplies,11,221.09,0.0,2,0,2431.99,2431.99,437.76
ORD-1135,South,Distributor,Office Tech,10,380.57,0.0,3,0,3805.7,3805.7,837.25
ORD-1136,South,Retail Co-op,Hardware,21,54.08,0.05,5,0,1135.68,1078.9,273.7
ORD-1137,East,Commercial Enterprise,Office Tech,14,58.49,0.0,2,0,818.86,818.86,180.15
ORD-1138,South,Retail Co-op,Hardware,7,190.29,0.1,3,0,1332.03,1198.83,269.07
ORD-1139,West,Retail Co-op,Hardware,2,472.03,0.1,5,1,944.06,849.65,190.7
ORD-1140,West,Retail Co-op,Hardware,9,340.91,0.0,3,0,3068.19,3068.19,859.09
ORD-1141,North,Direct Farmer,Machinery,16,345.76,0.05,2,0,5532.16,5255.55,1963.92
ORD-1142,South,Commercial Enterprise,Logistics Supplies,13,193.72,0.05,4,0,2518.36,2392.44,367.68
ORD-1143,South,Retail Co-op,Office Tech,9,304.96,0.0,3,0,2744.64,2744.64,603.82
ORD-1144,North,Direct Farmer,Office Tech,20,24.86,0.2,4,0,497.2,397.76,37.79
ORD-1145,North,Distributor,Machinery,4,325.33,0.15,5,0,1301.32,1106.12,344.85
ORD-1146,East,Retail Co-op,Machinery,22,458.38,0.1,2,0,10084.36,9075.92,3126.15
ORD-1147,South,Retail Co-op,Machinery,10,314.04,0.1,4,0,3140.4,2826.36,973.52
ORD-1148,North,Distributor,Logistics Supplies,22,439.38,0.05,4,0,9666.36,9183.04,1411.29
ORD-1149,North,Commercial Enterprise,Hardware,12,367.51,0.2,2,0,4410.12,3528.1,546.86
ORD-1150,West,Direct Farmer,Logistics Supplies,17,77.87,0.1,4,0,1323.79,1191.41,148.26
ORD-1151,North,Distributor,Office Tech,14,453.18,0.1,3,0,6344.52,5710.07,938.99
ORD-1152,North,Commercial Enterprise,Machinery,14,51.89,0.15,4,0,726.46,617.49,192.51
